"","TRUNC(crsarrtime/100L)","dayofweek","n_flights","med_delay","na.rm","mean_delay"
"107",14,7,164558,-5,TRUE,2.71182197158449
"108",15,1,159906,-3,TRUE,5.78885720360712
"109",15,2,156666,-4,TRUE,3.8315014106443
"110",15,3,156431,-4,TRUE,4.14239504957457
"111",15,4,158320,-3,TRUE,6.36263895907024
"112",15,5,158861,-2,TRUE,6.75356443683472
"113",15,6,146785,-5,TRUE,2.87014340702388
"114",15,7,156812,-4,TRUE,3.85202025355202
"115",16,1,187572,-2,TRUE,7.24013178939287
"116",16,2,183326,-3,TRUE,4.94777063809825
"117",16,3,183577,-3,TRUE,5.44086132794413
"118",16,4,185257,-2,TRUE,8.04920731740231
"119",16,5,186512,-2,TRUE,8.29701038002917
"120",16,6,166634,-5,TRUE,3.51359866533841
"121",16,7,185199,-4,TRUE,5.2195584209418
"122",17,1,163173,-2,TRUE,8.45088954667745
"123",17,2,159010,-3,TRUE,6.18233444437457
"124",17,3,160016,-3,TRUE,7.06623712628737
"125",17,4,161417,-1,TRUE,9.8474819876469
"126",17,5,162417,-1,TRUE,9.91954044219509
"127",17,6,137724,-4,TRUE,4.36572420202724
"128",17,7,160258,-3,TRUE,6.81746309076614
"129",18,1,183203,-2,TRUE,9.51964214559805
"130",18,2,178352,-3,TRUE,7.10474230734727
"131",18,3,179081,-2,TRUE,8.1345815580659
"132",18,4,179858,0,TRUE,11.2953830243859
"133",18,5,182190,-1,TRUE,10.6628080575224
"134",18,6,147109,-5,TRUE,4.53966786532435
"135",18,7,180805,-2,TRUE,8.17855147811178
"136",19,1,166642,-2,TRUE,10.0120857886967
"137",19,2,162209,-3,TRUE,7.55323070853035
"138",19,3,163682,-2,TRUE,8.99819772485673
"139",19,4,164511,0,TRUE,12.6899052343004
"140",19,5,166724,-1,TRUE,11.6596830690243
"141",19,6,130300,-4,TRUE,4.61682271680737
"142",19,7,164364,-2,TRUE,9.32530846170694
"143",20,1,173228,-2,TRUE,9.98640520008313
"144",20,2,165884,-3,TRUE,7.42723228280003
"145",20,3,169848,-2,TRUE,8.93293415288964
"146",20,4,171933,0,TRUE,12.7804726259648
"147",20,5,174450,-1,TRUE,11.7729034107194
"148",20,6,123128,-5,TRUE,3.84273276590215
"149",20,7,172681,-2,TRUE,9.84162704640348
"150",21,1,154733,-2,TRUE,10.1004116768886
"151",21,2,148353,-3,TRUE,7.54605569149259
"152",21,3,153369,-2,TRUE,9.24376503726307
"153",21,4,155994,1,TRUE,13.5707014372348
"154",21,5,158257,-1,TRUE,12.2228021509317
