"","time","dayofweek","n_flights","med_delay","mean_delay"
"132",18,6,148314,-5,4.53966786532435
"133",18,7,182928,-2,8.17855147811178
"134",19,1,168728,-2,10.0120857886967
"135",19,2,164454,-3,7.55323070853035
"136",19,3,166035,-2,8.99819772485673
"137",19,4,166871,0,12.6899052343004
"138",19,5,169031,-1,11.6596830690243
"139",19,6,131377,-4,4.61682271680737
"140",19,7,166428,-2,9.32530846170694
"141",20,1,175429,-2,9.98640520008313
"142",20,2,168127,-3,7.42723228280003
"143",20,3,172240,-2,8.93293415288964
"144",20,4,174409,0,12.7804726259648
"145",20,5,176786,-1,11.7729034107194
"146",20,6,124144,-5,3.84273276590215
"147",20,7,174775,-2,9.84162704640348
"148",21,1,156741,-2,10.1004116768886
"149",21,2,150347,-3,7.54605569149259
"150",21,3,155456,-2,9.24376503726307
"151",21,4,158141,1,13.5707014372348
"152",21,5,160311,-1,12.2228021509317
"153",21,6,107099,-5,4.10114369087401
"154",21,7,159564,-1,10.4939000019033
"155",22,1,128011,-2,9.73714362475504
"156",22,2,120248,-3,6.9834165312771
"157",22,3,125010,-2,9.18757393573061
"158",22,4,128565,1,13.8110841551404
"159",22,5,130112,0,12.0515542490065
"160",22,6,79716,-5,3.6464144936325
"161",22,7,129016,-1,10.8250670136222
"162",23,1,97310,-2,8.41331616547599
"163",23,2,88488,-3,6.15231477777905
"164",23,3,94298,-3,7.89976512478416
"165",23,4,99379,0,11.9419996129913
"166",23,5,101327,-1,10.2053035673279
"167",23,6,59725,-5,2.82595571744153
"168",23,7,101112,-1,9.13367426592742
"169",24,1,7,4,23.4285714285714
"170",24,2,6,12,27.5
"171",24,3,13,-4,14.1538461538462
"172",24,4,7,-2,2.85714285714286
"173",24,5,10,-11,-10
"174",24,6,9,-2,-4.22222222222222
"175",24,7,7,-11,10.7142857142857
